Var1,community,communityno
7Networks_RH_SomMot_11,SomMot,2
7Networks_RH_SomMot_12,SomMot,2
7Networks_RH_SomMot_13,SomMot,2
7Networks_RH_SomMot_14,SomMot,2
7Networks_RH_SomMot_15,SomMot,2
7Networks_RH_SomMot_16,SomMot,2
7Networks_RH_SomMot_17,SomMot,2
7Networks_RH_SomMot_18,SomMot,2
7Networks_RH_SomMot_19,SomMot,2
7Networks_RH_DorsAttn_Post_1,DorsAttn,3
7Networks_RH_DorsAttn_Post_2,DorsAttn,3
7Networks_RH_DorsAttn_Post_3,DorsAttn,3
7Networks_RH_DorsAttn_Post_4,DorsAttn,3
7Networks_RH_DorsAttn_Post_5,DorsAttn,3
7Networks_RH_DorsAttn_Post_6,DorsAttn,3
7Networks_RH_DorsAttn_Post_7,DorsAttn,3
7Networks_RH_DorsAttn_Post_8,DorsAttn,3
7Networks_RH_DorsAttn_Post_9,DorsAttn,3
7Networks_RH_DorsAttn_Post_10,DorsAttn,3
7Networks_RH_DorsAttn_FEF_1,DorsAttn,3
7Networks_RH_DorsAttn_FEF_2,DorsAttn,3
7Networks_RH_DorsAttn_PrCv_1,DorsAttn,3
7Networks_RH_SalVentAttn_TempOccPar_1,SalVentAttn,4
7Networks_RH_SalVentAttn_TempOccPar_2,SalVentAttn,4
7Networks_RH_SalVentAttn_TempOccPar_3,SalVentAttn,4
7Networks_RH_SalVentAttn_PrC_1,SalVentAttn,4
7Networks_RH_SalVentAttn_FrOper_1,SalVentAttn,4
7Networks_RH_SalVentAttn_FrOper_2,SalVentAttn,4
7Networks_RH_SalVentAttn_FrOper_3,SalVentAttn,4
7Networks_RH_SalVentAttn_FrOper_4,SalVentAttn,4
7Networks_RH_SalVentAttn_Med_1,SalVentAttn,4
7Networks_RH_SalVentAttn_Med_2,SalVentAttn,4
7Networks_RH_SalVentAttn_Med_3,SalVentAttn,4
7Networks_RH_Limbic_OFC_1,Limbic,5
7Networks_RH_Limbic_OFC_2,Limbic,5
7Networks_RH_Limbic_OFC_3,Limbic,5
7Networks_RH_Limbic_TempPole_1,Limbic,5
7Networks_RH_Limbic_TempPole_2,Limbic,5
7Networks_RH_Limbic_TempPole_3,Limbic,5
7Networks_RH_Cont_Par_1,Cont,6
7Networks_RH_Cont_Par_2,Cont,6
7Networks_RH_Cont_Par_3,Cont,6
7Networks_RH_Cont_Temp_1,Cont,6
7Networks_RH_Cont_PFCv_1,Cont,6
7Networks_RH_Cont_PFCl_1,Cont,6
7Networks_RH_Cont_PFCl_2,Cont,6
7Networks_RH_Cont_PFCl_3,Cont,6
7Networks_RH_Cont_PFCl_4,Cont,6
7Networks_RH_Cont_PFCl_5,Cont,6
7Networks_RH_Cont_PFCl_6,Cont,6
7Networks_RH_Cont_PFCl_7,Cont,6
7Networks_RH_Cont_pCun_1,Cont,6
7Networks_RH_Cont_PFCmp_1,Cont,6
7Networks_RH_Cont_PFCmp_2,Cont,6
7Networks_RH_Cont_PFCmp_3,Cont,6
7Networks_RH_Cont_PFCmp_4,Cont,6
7Networks_RH_Default_Par_1,Default,7
7Networks_RH_Default_Par_2,Default,7
7Networks_RH_Default_Par_3,Default,7
7Networks_RH_Default_Temp_1,Default,7
7Networks_RH_Default_Temp_2,Default,7
7Networks_RH_Default_Temp_3,Default,7
7Networks_RH_Default_Temp_4,Default,7
7Networks_RH_Default_Temp_5,Default,7
7Networks_RH_Default_PFCv_1,Default,7
7Networks_RH_Default_PFCm_1,Default,7
7Networks_RH_Default_PFCm_2,Default,7
7Networks_RH_Default_PFCm_3,Default,7
7Networks_RH_Default_PFCm_4,Default,7
7Networks_RH_Default_PFCm_5,Default,7
7Networks_RH_Default_PFCm_6,Default,7
7Networks_RH_Default_PFCm_7,Default,7
7Networks_RH_Default_PCC_1,Default,7
7Networks_RH_Default_PCC_2,Default,7
7Networks_RH_Default_PCC_3,Default,7
